scrape_date,scrape_ts_utc,line,brand,tier,ship,ship_code,itinerary_code,itinerary_name,sailing_id,sail_date,return_date,nights,region,embark_port,market,currency,cabin_category,cabin_subcategory,vendor_category_code,rate_code,price_per_person,price_total,price_pppn,price_basis,taxes_fees,availability_status,availability_status_raw,units_remaining,promo_hash,source_url
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21830,2027-02-12,2027-02-15,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,inside,IS,1A,OB7,446.0,892.0,148.6667,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21830,2027-02-12,2027-02-15,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,oceanview,OS,6A,OB7,526.0,1052.0,175.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21830,2027-02-12,2027-02-15,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,suite,SU,GS,OB7,1276.0,2552.0,425.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21832,2027-02-19,2027-02-22,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,balcony,OB,8A,OB7,486.0,972.0,162.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21832,2027-02-19,2027-02-22,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,inside,IS,1A,OB7,301.0,602.0,100.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21832,2027-02-19,2027-02-22,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,oceanview,OS,6A,OB7,361.0,722.0,120.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21832,2027-02-19,2027-02-22,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,suite,SU,JS,OB7,733.0,1466.0,244.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Conquest,CQ,BAV,"3-Day The Bahamas from Miami, FL",22281,2027-03-19,2027-03-22,3,Caribbean,"Miami, FL",US,USD,balcony,OB,BL,PSV,582.0,1164.0,194.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Conquest,CQ,BAV,"3-Day The Bahamas from Miami, FL",22281,2027-03-19,2027-03-22,3,Caribbean,"Miami, FL",US,USD,inside,IS,1A,OB7,352.0,704.0,117.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Conquest,CQ,BAV,"3-Day The Bahamas from Miami, FL",22281,2027-03-19,2027-03-22,3,Caribbean,"Miami, FL",US,USD,oceanview,OS,OV,PSV,447.0,894.0,149.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Conquest,CQ,BAV,"3-Day The Bahamas from Miami, FL",22281,2027-03-19,2027-03-22,3,Caribbean,"Miami, FL",US,USD,suite,SU,OS,OB7,672.0,1344.0,224.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=1&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21842,2027-03-26,2027-03-29,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,balcony,OB,8A,OB7,666.0,1332.0,222.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21842,2027-03-26,2027-03-29,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,inside,IS,1A,OB7,456.0,912.0,152.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21842,2027-03-26,2027-03-29,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,oceanview,OS,6A,OB7,566.0,1132.0,188.6667,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21842,2027-03-26,2027-03-29,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,suite,SU,OS,OB7,856.0,1712.0,285.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21846,2027-04-09,2027-04-12,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,balcony,OB,8A,OB7,526.0,1052.0,175.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21846,2027-04-09,2027-04-12,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,inside,IS,1A,OB7,356.0,712.0,118.6667,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21846,2027-04-09,2027-04-12,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,oceanview,OS,6A,OB7,416.0,832.0,138.6667,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21846,2027-04-09,2027-04-12,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,suite,SU,JS,OB7,693.0,1386.0,231.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21848,2027-04-16,2027-04-19,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,balcony,OB,8A,OB7,526.0,1052.0,175.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21848,2027-04-16,2027-04-19,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,inside,IS,1A,OB7,366.0,732.0,122.0,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
2026-09-15,2026-09-15T05:01:41+00:00,Carnival Cruise Line,Carnival,weekly-full,Carnival Glory,GL,BAV,"3-Day The Bahamas from Port Canaveral (Orlando), FL",21848,2027-04-16,2027-04-19,3,Caribbean,"Port Canaveral (Orlando), FL",US,USD,oceanview,OS,6A,OB7,406.0,812.0,135.3333,rooms.price,,available,soldOut=false,,,https://www.carnival.com/cruisesearch/api/search?pagesize=20&pagenumber=2&numadults=2&sort=fromprice&locality=1&currency=USD&dest=BH
